id,name,fluorochrome,brand_id,catalog_number,clone,price,team_id,user_id,target_antigen,catalog_volume,catalog_price
be3320e7-4e24-4aa7-9197-c99c41c8e04e,CD13,FL-0012,2739adfe-b5ec-4f11-b2a2-7c3fa147b263,R0715,WM-47,506.0,,,CD13,100.0,506.0
04b55147-55e2-473e-8dfd-c033841e59e9,CD45-RA,FL-0005,a0825477-f52a-4992-9d58-17849b64ca85,B49193,,0.0,,,CD45-RA,100.0,0.0
19a0f284-eea9-44e1-996a-4d97e30b4f1c,CD14,FL-0005,a0825477-f52a-4992-9d58-17849b64ca85,B92391,,0.0,,,CD14,100.0,0.0
627b9ab6-6403-49e6-9dec-3ac06ceccda0,CD16,FL-0005,a0825477-f52a-4992-9d58-17849b64ca85,B49216,,0.0,,,CD16,100.0,0.0
195acde5-c9cb-4016-aff4-6cbcae0c0b9a,CD11b,FL-0001,dd856259-6ecd-4dba-b3ea-29b417c3d703,130110554,REA713,0.0,,,CD11b,100.0,0.0
bc2231f7-6475-42a8-bcca-79813a6bfec3,CD71,FL-0004,dd856259-6ecd-4dba-b3ea-29b417c3d703,130115032,REA902,0.0,,,CD71,100.0,0.0
069faae2-bf75-46bd-bd5e-723a549a06f5,CD57,FL-0006,2739adfe-b5ec-4f11-b2a2-7c3fa147b263,F7270,TB01,0.0,,,CD57,100.0,0.0
b6b7c2db-2ae0-4248-a541-2814f9e45f20,CD8,FL-0003,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,641400,SK1,406.0,,,CD8,100.0,406.0
9eb35d96-b622-42f8-aa54-36182e368810,CD71,FL-0003,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,655408,M-A712,406.0,,,CD71,100.0,406.0
df4349dc-9d94-44f6-bca8-f4dcd9ce0fde,CD34,FL-0003,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,340441,8G12,0.0,,,CD34,100.0,0.0
5f46a422-3862-48ad-ac70-7ff8536c0eb4,CD103,FL-0006,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,340945,Ber-ACT8,799.0,,,CD103,100.0,799.0
140f19f8-effb-4290-862c-2bbfc4c4ef59,CD3,FL-0018,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,560365,UVHT1,0.0,,,CD3,100.0,0.0
67987550-bb2d-4523-9d5e-9c7a8f1cc873,CD79b,FL-0015,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,656644,SN8,1280.0,,,CD79b,100.0,1280.0
b6e4222d-3879-47ff-bdc1-7337ff47f00f,CD34,FL-0015,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,347203,8G12,0.0,,,CD34,100.0,0.0
14e6025d-4ebd-412e-b38e-03608695e2dc,HLA-DR,FL-0015,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,339194,L243,0.0,,,HLA-DR,100.0,0.0
795fdbe3-6ca8-44f2-85e1-714038656dd3,CD117,FL-0013,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,339195,104D2,650.0,,,CD117,100.0,650.0
4b9107c1-8d69-44c5-a8eb-a4c38cbc8028,CD45,FL-0019,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,647449,2D1,1143.0,,,CD45,100.0,1143.0
756cc163-55e2-4f44-a212-007b2ad31ad6,CD69,FL-0012,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,341652,L78,637.0,,,CD69,100.0,637.0
466d2745-12c3-4c2d-93e7-a4d8b6d9bc1e,HLA-DR,FL-0018,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,642276,L243,0.0,,,HLA-DR,100.0,0.0
73c33ea0-0bbb-4a68-b204-1e85b9701ca7,CD4,FL-0018,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,560345,RPA-T4,0.0,,,CD4,100.0,0.0
abc9d55e-366a-4ee2-81ea-2d062c3ace06,CD56,FL-0012,fcbaa6cc-f04b-4a01-af66-9353f2e3c235,555516,NCAM-1,862.0,,,CD56,100.0,862.0
